URLs,Name
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol07.PDF?ver=aXy98hp6g9fZxjy0cHrY7A%3d%3d,DoDM 4140.01 Volume 7
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol08.pdf?ver=2019-10-21-094350-087,DoDM 4140.01 Volume 8
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol09.PDF?ver=ylHfg7tbeM6Kgu7eDBFWrA%3d%3d,DoDM 4140.01 Volume 9
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001_vol10.PDF?ver=82B5EV5sxwwkmiHPBOS4jA%3d%3d,DoDM 4140.01 Volume 10
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001v11.PDF?ver=jeF8QQOM0uhp0v_bnpbhpA%3d%3d,DoDM 4140.01 Volume 11
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/414001m/414001m_vol12.pdf?ver=Wl2W7ReLANQA-8qn-nkC0Q%3d%3d,DoDM 4140.01 Volume 12
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol1.pdf?ver=2019-04-02-134414-097,DoDM 4140.25 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol2.pdf?ver=2019-04-04-102840-683,DoDM 4140.25 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol3.pdf?ver=2019-04-02-134408-160,DoDM 4140.25 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol4.pdf?ver=2019-04-02-134857-347,DoDM 4140.25 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025-m-vol5.pdf?ver=2019-04-04-124636-557,DoDM 4140.25 Volume 5
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025-m-vol6.pdf?ver=2019-04-04-105833-133,DoDM 4140.25 Volume 6
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol7.pdf?ver=2019-04-04-103837-950,DoDM 4140.25 Volume 7
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025_vol8.pdf?ver=2019-04-05-120409-200,DoDM 4140.25  Volume 8
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol9.pdf?ver=2019-04-04-104857-750,DoDM 4140.25 Volume 9
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol10.pdf?ver=2019-04-04-105429-593,DoDM 4140.25 Volume 10
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol11.pdf?ver=2019-04-04-103120-230,DoDM 4140.25 Volume 11
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414025m_vol12.pdf?ver=2019-04-04-110506-123,DoDM 4140.25 Volume 12
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414026m_vol01.PDF?ver=AAdoa3mLp6_yMMK-ItoWIA%3d%3d,DoDM 4140.26 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414026m_vol02.PDF?ver=CF_HfFzHpm4C4BQG1OkPxA%3d%3d,DoDM 4140.26 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414026m_vol03.PDF?ver=rXv4fN63MFDs7skpCdISGA%3d%3d,DoDM 4140.26 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414026m_vol04.PDF?ver=PqjCGfTVMQfcgnkGFVk4dg%3d%3d,DoDM 4140.26 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414027_vol1.PDF?ver=2019-12-11-140524-843,DoDM 4140.27 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414027_vol02.pdf?ver=2019-11-07-071905-253,DoDM 4140.27 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414065m.pdf?ver=2020-07-02-102304-973,DoD 4140.65
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414068m.pdf?ver=kptCFUFDrzrboBAqe35e_Q%3d%3d,DoDM 4140.68
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414070p.pdf?ver=2019-07-15-134505-420,DoDM 4140.70
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414072m.PDF?ver=gVs-ZvTwRwEaTLE2hj5wBg%3d%3d,DoDM 4140.72
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/414526m.pdf?ver=2018-12-03-081135-727,DoD 4145.26-M
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/415007_vol1.pdf?ver=2020-01-22-132922-467,DoDM 4150.07 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/415007_vol2.PDF?ver=-pcSntQHB4BMT8BjFZ7aOA%3d%3d,DoDM 4150.07 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/415118h.pdf?ver=2018-12-03-084018-823,DoD 4151.18-H
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/415122m.pdf?ver=udMzD-l873pOkro6q9XAZQ%3d%3d,DoDM 4151.22
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/415123m.pdf?ver=2018-10-31-123816-847,DoDM 4151.23
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416021_vol1.pdf?ver=RAoKP8NgjW6YaXG54PyHRg%3d%3d,DoDM 4160.21 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416021m_vol2.PDF?ver=2019-09-30-130020-577,DoDM 4160.21 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416021_vol3.PDF?ver=OS5mgrLSsArG_LtaW2INpg%3d%3d,DoDM 4160.21 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416021_vol4.PDF?ver=W9-rbXln-AJiJl4GCOurdA%3d%3d,DoDM 4160.21 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416028m_vol1.pdf?ver=2019-07-17-083913-820,DoDM 4160.28 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416028v2.PDF?ver=C53C-BiFpOY0Wkoy7pn9XQ%3d%3d,DoDM 4160.28 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416563m.pdf?ver=2018-09-20-075812-223,DoDM 4165.63
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/416566m.pdf?ver=2018-12-03-094242-090,DoD 4165.66-M
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/424515m.PDF?ver=nkcCXbn5rNb-gb4yC-C-Cw%3d%3d,DoDM 4245.15
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/440001m.pdf?ver=2018-12-11-110803-913,DoD 4400.1-M
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/450036m.pdf?ver=2018-12-20-085741-153,DoDM 4500.36
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/451012p.PDF?ver=IUaRk8crrj_7lOkYvIaRYg%3d%3d,DoDM 4510.12
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/465001r1p.pdf,DoD 4650.1-R-1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471503m.pdf?ver=2018-11-13-125658-050,DoDM 4715.03
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471505_vol1.pdf?ver=2020-06-29-151300-670,DoDM 4715.05 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471505m_vol2.pdf?ver=2020-06-29-152354-467,DoDM 4715.05  Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471505m_Vol3.pdf?ver=2020-06-29-154111-023,DoDM 4715.05 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/4715.05mVol4.pdf?ver=2020-06-29-154516-740,DoDM 4715.05 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471505_vol05.pdf?ver=2020-06-29-155017-350,DoDM 4715.05 Volume 5
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471506m_vol01.PDF?ver=PTyUa9f9vkagmASAMUrUjA%3d%3d,DoDM 4715.06 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471506_vol2.pdf?ver=LHvgkPkXh6zf5fhvs5_qdQ%3d%3d,DoDM 4715.06 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471506v3.pdf?ver=2019-08-26-075853-690,DoDM 4715.06 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471506_vol4.PDF?ver=DMfStgq-zR5KkebJmGWEIQ%3d%3d,DoDM 4715.06 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471520m.pdf?ver=2018-12-03-112553-333,DoDM 4715.20
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471525m.PDF?ver=2019-12-10-143656-543,DoDM 4715.25
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/471526m.PDF?ver=2019-06-18-131525-833,DoDM 4715.26
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/500004p.pdf?ver=YIkjr3yVS9cwqKYLMfcv8Q%3d%3d,DoDM 5000.04
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/500069m.pdf?ver=2018-11-07-082045-307,DoDM 5000.69
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/500078m.pdf?ver=2019-03-21-080447-490,DoDM 5000.78
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/501012m.pdf?ver=2018-12-20-144750-287,DoD 5010.12-M
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/510076m.PDF?ver=5yPY5AkBNcNSniaDh8hXgQ%3d%3d,DoDM 5100.76
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/510521m_vol1.PDF?ver=F5-9H2ogpwypm25E3o7Tnw%3d%3d,"DoDM 5105.21
Volume 1"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/510521m_vol2.PDF?ver=TSoaZ1O6GcVD8tMjhTy52g%3d%3d,"DoDM 5105.21
Volume 2"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/510521m_vol3.pdf?ver=2020-09-15-132603-533,"DoDM 5105.21
Volume 3"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/510606m.pdf?ver=2018-05-07-150927-560,DoDM 5106.06
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/511004_vol01.PDF?ver=AZ3_gD1LBKHsIRM2V9CIBQ%3d%3d,"DoDM 5110.04 
Volume 1"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/511004vol2.PDF?ver=rmG5MAJP3kjFjDLfm1D9yA%3d%3d,"DoDM 5110.04
Volume 2"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520001m_vol1.pdf?ver=2020-08-04-092500-203,DoDM 5200.01 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520001m_vol2.pdf?ver=2020-08-04-112507-683,DoDM 5200.01 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520001m_vol3.pdf?ver=MJfVD-nRd2HTyLSzDse9VQ%3d%3d,DoDM 5200.01 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520002m.PDF?ver=YMf-3XVWDdl4IodzbSsLnA%3d%3d,DoDM 5200.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520008rm.PDF?ver=img-RGW-wJ7pxV3nK3uxww%3d%3d,DoD 5200.08-R
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520008_vol3.pdf?ver=2020-09-18-130526-407,DoDM 5200.08 Vol 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520045m.pdf?ver=2020-09-15-113512-400,DoDM 5200.45
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520502m.PDF?ver=Hym9p5Y2P7z-npaWFkGtmA%3d%3d,DoDM 5205.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520507_vol01.pdf?ver=2TCr5LV4aR7V_rVq5540Nw%3d%3d,DoDM 5205.07 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520507_vol2.pdf?ver=T8MfrJE3D8-dkpWhSYo4Aw%3d%3d,DoDM 5205.07 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520507_vol03.PDF?ver=iJ-eGWUCqX4IeO_5QOkZ5g%3d%3d,DoDM 5205.07 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/520507-V4p.pdf?ver=2020-09-09-110203-730,DoDM 5205.07 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/521042m.pdf?ver=Lz33lec_zNZpLZFrNyl2zw%3d%3d,DoDM 5210.42
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/522032v1.PDF?ver=1BFNVqOKXaqdXcO618H-yg%3d%3d,DoDM 5220.32 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/522032v2.PDF?ver=6r6Wq0aBhS44uQvw8Vne_w%3d%3d,DoDM 5220.32 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/523030m.pdf?ver=ylN5iXMUU0ed12DPQ2Y8Cg%3d%3d,DoDM 5230.30
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/524001_dodm_2016.pdf?ver=2017-07-31-143413-363,DoDM 5240.01
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/524001r.pdf?ver=2dAiRj-ziUg52FWzLj6M5Q%3d%3d,DoD 5240.1-R
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/540007_dodm_2017.pdf,DoDM 5400.07
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/540011r.pdf,DoD 5400.11-R
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/540011v2.PDF?ver=QkXrRtXehlXdei86b5E96Q%3d%3d,"DoDM 5400.11
Volume 2"
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/550007r.pdf?ver=2019-04-03-110847-370,DoD 5500.7-R
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/602518m.pdf?ver=2019-03-13-123513-717,DoDM 6025.18
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/605505m.PDF?ver=3u-UoR7v7wydz-RIKQkI_Q%3d%3d,DoDM 6055.05
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/605506m.pdf?ver=2020-01-27-112115-813,DoDM 6055.06
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/605509_Placeholder.pdf?ver=2019-02-26-121641-737,DoDM 6055.09 Volume 1-8 (Date Varies)
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/605518p.pdf?ver=2020-08-11-131349-037,DoDM 6055.18
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/605521p.pdf?ver=2019-10-28-090444-023,DoDM 6055.21
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/640001m_vol1.pdf?ver=2019-07-22-100753-203,DoDM 6400.01 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/640001m_vol2.pdf,DoDM 6400.01 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/640001m_vol03.PDF?ver=VlHGJ0kCCGuApm21-C7pNQ%3d%3d,DoDM 6400.01 Volume 3
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/640001m_vol4.pdf?ver=2019-03-22-095444-007,DoDM 6400.01 Volume 4
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/644002m.pdf,DoDM 6440.02
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/760007m.pdf,DoDM 7600.07
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/773047m_vol1.pdf?ver=2020-09-18-132640-527,DoD 7730.47-M Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/773047m_vol2.PDF?ver=bEa2mPaeEV9A6MJCZPzjSg%3d%3d,DoD 7730.47-M Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/773069_vol1.pdf?ver=8w1L7IbteaJqeI2wv-SAwQ%3d%3d,DoDM 7730.69 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/773069_vol2.pdf?ver=hBjN_pVFtPO8b3EEwYYqww%3d%3d,DoDM 7730.69 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/775008m.PDF?ver=O1fUAw7HuDT42x7JTiwnWw%3d%3d,DoDM 7750.08
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/814003p.PDF?ver=Yi_dR4VeVd7-yxrty2REFQ%3d%3d,DoDM 8140.03
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/818001m.PDF?ver=XpSBW-oiSiVObMHkwOxbzQ%3d%3d,DoDM 8180.01
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/826003m_vol1.pdf?ver=M4okoiscIPvlAT1odYDk5g%3d%3d,DoDM 8260.03 Volume 1
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/826003m_vol2.pdf,DoDM 8260.03 Volume 2
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/840001_dodm_2017.pdf?ver=2017-11-14-112348-293,DoDM 8400.01
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/853001p.PDF?ver=BFUagWhkQR8fBXzxRjIqxQ%3d%3d,DoDM 8530.01
https://www.esd.whs.mil/Portals/54/Documents/DD/issuances/dodm/891001m_vol2.pdf?ver=yDDBoZ4JE19ee6aSQVglZw%3d%3d,DoDM 8910.01 Volume 2
